Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Joe Thornton,13.720075757576,0.5,1.49,55.56,4.17,11.9,0.37,6.56,4.37,1.89,3.18,0.99
Patrick Marleau,13.282738095238,0.32,0.4,36.0,4.36,7.41,0.55,7.82,5.57,3.15,3.23,1.53
Eric Staal,14.720125786164,0.38,0.62,76.47,6.31,6.1,0.68,11.15,6.69,3.15,1.77,1.15
Jeff Carter,16.56512345679,1.14,0.87,63.83,10.33,11.04,0.95,15.16,8.92,4.56,2.75,2.01
Dustin Brown,17.621088435374,1.18,0.97,52.54,8.96,13.18,1.02,14.38,7.78,3.96,5.91,0.69
Zach Parise,13.946666666667,0.67,1.05,50.0,8.6,7.78,0.91,11.57,7.84,4.97,1.72,1.91
Ryan Getzlaf,16.578819444444,0.38,0.9,53.13,5.28,7.14,0.6,10.03,4.98,2.34,4.98,3.47
Corey Perry,13.739115646259,0.8,1.07,63.64,5.53,14.52,0.68,9.71,5.97,3.3,4.99,1.34
Patrice Bergeron,18.221913580247,1.4,1.52,55.17,11.1,12.64,1.17,18.17,11.89,5.06,2.99,2.2
Joe Pavelski,19.022023809524,1.41,1.46,65.38,7.83,17.99,1.03,13.63,8.51,4.84,3.6,2.2
Alex Ovechkin,19.501851851852,1.64,1.23,60.87,12.44,13.19,1.18,24.0,9.85,3.56,6.7,1.57
Blake Wheeler,18.340666666667,0.98,2.03,79.31,7.39,13.27,0.74,11.06,7.39,3.08,4.12,1.96
Travis Zajac,16.410869565217,0.64,0.95,74.07,3.97,16.0,0.41,7.39,4.61,2.23,4.05,1.75
Blake Comeau,15.740196078431,0.3,0.75,70.0,5.68,5.26,0.57,10.02,5.76,2.32,7.92,1.35
Carl Soderberg,14.4,0.65,0.93,60.71,5.65,11.48,0.57,8.06,4.91,2.96,6.11,3.33
David Krejci,17.135620915033,0.55,2.47,73.33,5.7,9.64,0.54,9.68,5.01,1.79,1.72,1.79
Paul Stastny,17.409523809524,0.8,0.98,52.73,6.22,12.87,0.89,9.66,8.37,4.68,2.34,1.17
Sidney Crosby,20.398181818182,1.28,2.03,72.94,8.5,15.09,1.01,13.42,8.34,3.85,2.35,1.5
Anze Kopitar,21.182738095238,0.66,1.87,76.92,5.97,11.02,0.64,10.93,5.56,2.12,2.28,1.87
T.J. Oshie,18.063836477987,1.38,1.32,60.56,6.64,20.75,0.84,10.65,7.52,3.45,4.39,1.69
Andrew Cogliano,13.926234567901,0.4,0.48,57.89,7.02,5.68,0.59,12.45,6.94,2.95,6.3,1.91
Darren Helm,14.677659574468,0.26,0.43,44.44,7.22,3.61,0.61,11.31,5.83,1.48,3.39,1.74
