Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Joe Thornton,15.5,0.39,1.33,58.49,4.2,9.21,0.43,6.91,4.53,1.88,1.11,1.6
Patrick Marleau,15.576767676768,0.64,0.64,44.0,6.83,9.4,0.77,11.21,7.06,4.03,3.33,1.4
Ilya Kovalchuk,16.96268115942,0.77,1.23,72.22,8.84,8.7,0.86,14.3,7.69,2.92,4.0,1.77
Jason Spezza,10.829022988506,0.86,1.53,73.53,6.97,12.33,0.74,12.61,6.4,2.87,1.24,1.82
Mikko Koivu,15.57,0.28,1.19,47.73,5.18,5.41,0.55,7.99,4.62,2.66,1.75,2.31
Valtteri Filppula,16.612380952381,0.31,0.77,58.33,3.25,9.52,0.41,5.37,3.92,2.01,1.44,1.6
Frans Nielsen,13.683333333333,0.29,0.37,52.94,6.29,4.65,0.55,9.35,4.82,2.12,3.22,2.56
Alexander Steen,14.033939393939,0.54,0.78,48.57,5.52,9.86,0.58,8.94,5.44,2.49,2.02,3.65
Eric Staal,17.134595959596,1.01,1.49,61.84,6.0,16.81,0.77,12.31,6.69,3.24,1.27,1.17
Jeff Carter,16.934722222222,1.0,0.59,65.85,10.75,9.34,1.02,17.24,8.27,4.19,3.9,1.36
Dustin Brown,18.406565656566,0.84,0.89,55.56,8.35,10.06,0.88,14.42,7.75,3.41,7.06,0.74
Zach Parise,17.196859903382,1.26,1.06,59.74,7.84,16.13,1.14,12.03,8.8,5.82,1.37,1.92
Ryan Getzlaf,18.727053140097,0.6,1.35,66.67,6.69,9.03,0.62,12.63,6.08,2.18,5.8,3.2
Corey Perry,13.723976608187,0.38,1.23,52.5,5.91,6.49,0.85,12.2,8.59,4.14,4.6,2.53
Loui Eriksson,12.372108843537,0.59,0.69,50.0,5.84,10.17,0.74,8.41,5.54,3.37,0.99,1.48
Patrice Bergeron,18.738797814208,1.63,1.31,51.85,10.66,15.27,1.21,17.11,10.71,3.67,2.41,2.41
Brad Richardson,13.64604519774,0.45,0.37,42.31,5.66,7.89,0.65,9.91,6.19,3.06,5.74,3.28
Nate Thompson,12.789523809524,0.27,0.74,55.56,4.49,5.97,0.5,7.71,4.42,2.95,7.91,3.35
Joe Pavelski,16.931094527363,0.74,0.9,50.82,6.61,11.2,0.95,12.43,8.36,4.5,3.28,2.75
Alex Ovechkin,20.648774509804,2.05,0.81,63.81,13.29,15.43,1.34,25.72,12.01,3.93,7.86,1.28
Evgeni Malkin,19.521212121212,1.4,2.74,84.09,9.56,14.62,1.06,16.43,9.39,3.46,2.12,1.23
Blake Wheeler,19.319248826291,0.96,1.88,70.65,7.87,12.22,0.76,13.47,7.96,2.49,4.46,2.23
Alexander Radulov,16.741944444444,0.9,1.13,61.82,7.88,11.36,0.93,13.02,8.0,4.18,2.87,2.51
Travis Zajac,17.095652173913,0.46,0.81,55.56,3.71,12.33,0.5,6.31,4.17,1.98,2.95,1.98
Blake Comeau,14.94,0.58,0.58,80.0,5.4,10.81,0.52,8.84,5.11,2.56,7.81,1.75
Carl Soderberg,15.896428571429,0.92,0.97,60.34,7.28,12.59,0.83,11.81,7.44,3.88,4.15,2.21
David Krejci,17.173770491803,0.74,1.72,70.49,4.75,15.66,0.57,9.34,5.33,2.18,2.12,1.83
Paul Stastny,17.12676056338,0.84,1.04,52.05,6.71,12.5,0.98,9.87,8.14,5.13,3.11,1.58
Sidney Crosby,20.266260162602,1.16,2.24,83.93,7.87,14.68,0.92,11.77,7.08,3.75,2.02,1.23
Anze Kopitar,21.04,0.86,1.67,75.61,5.5,15.56,0.64,9.9,5.7,2.16,2.0,2.28
T.J. Oshie,18.266183574879,1.24,1.09,51.04,6.38,19.4,1.1,11.85,9.14,5.05,4.28,2.76
Andrew Cogliano,12.472058823529,0.21,0.78,66.67,4.81,4.41,0.49,7.43,4.39,2.33,6.08,2.19
James Neal,16.307272727273,1.27,0.8,56.36,7.49,16.96,0.92,14.32,9.7,4.82,5.89,1.14
Darren Helm,13.733333333333,0.58,0.45,72.73,6.55,8.82,0.56,9.89,5.33,2.06,5.65,1.67
