,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,TOI_GP_Proj
134,134,134,134,134,168,Nicolas Hague,18.650641025641,0.25,0.62,26.42,7.18,3.45,0.37,14.79,4.21,0.99,3.53,4.95,18.090946502058,0.12,0.57,26.56,4.22,2.91,0.21,10.15,2.58,0.37,4.79,5.45,0.2747806464771073,0.6921303604884276,4.951260249630457,4.4592853244938935,5.179501113377477,18.237249482531837
135,135,135,135,135,169,Mario Ferraro,23.000793650794,0.08,0.5,25.93,2.03,4.08,0.11,4.47,1.82,0.29,5.8,6.25,21.603240740741,0.15,0.27,21.57,2.55,6.06,0.22,5.67,2.12,0.58,4.98,5.59,0.1577348160075605,0.590996028171013,3.638140493703697,4.962637639464182,5.585110759006892,21.313518850590025
136,136,136,136,136,170,Cal Foote,13.125892857143,0.16,0.57,25.0,4.0,4.08,0.19,9.14,2.29,0.49,6.78,4.65,15.122333333333,0.16,0.4,22.58,3.09,5.13,0.12,6.67,1.51,0.16,4.6,4.13,0.1492108993559679,0.5417342844605504,3.5676735372336497,4.834681560173013,4.367136269011212,15.62774217256831
137,137,137,137,137,171,Mikey Anderson,20.114035087719,0.1,0.31,16.33,3.04,3.45,0.15,6.96,2.77,0.58,6.96,3.61,21.659956709957,0.18,0.54,27.78,3.24,5.56,0.18,6.76,2.81,0.54,5.83,4.64,0.1771833329614826,0.5932866100155916,3.924408844794344,5.782488815976091,4.38983580058421,21.348112524049224
138,138,138,138,138,172,Henri Jokiharju,21.910833333333,0.14,0.73,32.76,3.79,3.61,0.15,6.66,1.14,0.14,3.33,2.74,21.024444444444,0.14,0.48,22.81,3.76,3.8,0.15,7.28,1.47,0.05,3.0,2.76,0.1335104211880164,0.5713286213745048,3.723481126135765,3.0898183023453765,3.1213101622967723,20.804672894572665
139,139,139,139,139,173,Miro Heiskanen,24.887142857143,0.17,1.07,45.0,5.37,3.21,0.35,10.75,3.93,0.93,1.79,3.17,25.491139240506,0.33,1.85,52.52,6.14,5.34,0.38,13.14,4.65,0.69,1.46,2.86,0.3778703685308752,1.2739287409875375,6.158282450596966,1.693851481541367,3.2854432636272017,24.703825391158304
140,140,140,140,140,174,Timothy Liljegren,16.403005464481,0.3,1.08,37.1,4.74,6.33,0.22,9.71,2.64,0.54,5.22,3.6,17.908457711443,0.3,0.6,29.51,4.2,7.14,0.22,7.7,2.5,0.4,5.35,4.65,0.2576782105148731,0.8795494954020989,4.524057765579025,5.14679836612638,4.392898630631809,18.067104580562116
141,141,141,141,141,175,Cale Makar,25.667965367965,0.85,1.76,52.76,7.29,11.67,0.45,15.0,4.64,0.43,2.88,3.34,26.380277777778,0.64,1.86,57.89,6.67,9.66,0.47,15.28,5.19,1.1,2.46,2.96,0.5870788254736315,1.8343027604048283,8.740344707385852,2.6146508651238696,3.384083443783746,25.48094985686047
142,142,142,142,142,176,Erik Brannstrom,19.77358490566,0.0,0.8,34.15,4.92,0.0,0.22,9.62,2.63,0.46,2.23,3.38,16.113513513514,0.1,0.81,33.33,3.72,2.7,0.18,10.06,3.47,0.55,2.47,5.18,0.1841980777013276,0.6606937598258524,4.535525832098389,2.5186478232487906,4.633316336861784,16.523518444485507
143,143,143,143,143,177,Neal Pionk,21.13961038961,0.11,1.14,37.78,5.16,2.14,0.3,10.25,2.73,0.48,6.82,3.35,21.940853658537,0.33,0.77,41.77,4.74,7.04,0.24,9.87,2.2,0.5,5.64,4.3,0.2726465381894589,0.9050743981550872,4.995133975086631,5.618218822180302,4.134562068564634,21.597594514974805
