,Player,TOI_GP_Proj,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,Total_Goals,Total_Assists,Total_Shots,Total_Hits,Total_Shots_Blocked,Projected Fantasy Points
0,Jeff Carter,14.553387869217827,0.7916310045673741,0.9861088580944531,7.75811929222786,4.354598899578836,2.603913617890361,15.36121741169006,19.13496625749341,150.54255892727167,84.49888906725323,50.52768647879559,121.24968469920366
1,Zach Parise,16.140121476697324,0.8468876004587291,0.8309313878738734,7.458151983666066,3.695118317818315,3.1932367571451468,18.22515833135013,17.881778052113358,160.50063867738857,79.51954469380944,68.7189722189036,131.51688361233903
2,Corey Perry,12.582867980547793,0.8738365216929083,0.9499159277832409,7.708411087856596,3.341659573199256,1.5968874187672248,14.660492785390604,15.936888949221455,129.3252254110538,56.06354832733323,26.791231426860968,98.30287581131466
3,Patrice Bergeron,17.332517044533482,1.3064334150964934,1.526702026256272,11.60753809519738,3.12881226617894,2.200636473842691,30.191705912944073,35.282118522680854,268.25046917344037,72.30692257692255,50.856758922267346,193.51906801672658
4,Joe Pavelski,17.60493601818966,1.1641821321534571,1.7965076227123866,8.757494566998563,3.8878118346802304,2.5505873223943083,27.327135933441646,42.169869005388776,205.56684204220434,91.2595714670747,59.87056882607665,185.998386456111
5,Alex Ovechkin,19.6369675449474,1.503847147299389,1.639586879110995,12.40521020616367,6.854441742855382,1.050031403310279,39.37466349877311,42.92868577629895,324.8009469422483,179.46726672424512,27.4925767839727,254.61821038646167
6,Evgeni Malkin,18.22766009391981,1.284007794888243,1.9595313189462955,10.373652562005368,2.108407582603952,1.4011489128579335,31.205943524221862,47.62356110019125,252.116550443539,51.24178234019732,34.05288816605291,194.38825338608228
7,Blake Wheeler,17.199365051181807,0.9660023778526218,1.6715387861170858,7.993301837166469,2.790717303730016,1.7278555342832171,22.15283671599588,38.332541039516094,183.3062883489444,63.99808754866982,39.62402411978911,154.37031447585866
8,Paul Stastny,13.202218541279366,0.7478548016997298,0.9457624713138452,6.207700222652762,1.583065878899605,1.3252586770330668,13.164456705579969,16.648217112567785,109.27388663761378,27.86664226463344,23.328472903889757,83.09438097526197
9,Sidney Crosby,19.53726994903941,1.2428862607920237,1.9800719428662843,9.14768641220486,2.559975221258864,1.6865550714814133,32.37680585739462,51.580266755063384,238.29442512587488,66.68656928078175,43.93424228727177,203.56268764333475
10,Anze Kopitar,19.72783955379666,0.9013525698179152,1.5608353409314648,7.300006978298588,2.573304168836592,2.77848373033407,23.70898517169351,41.05587890105526,192.017821879294,67.68764235456581,73.08464164648662,171.6713757145289
11,T.J. Oshie,16.770313258904196,1.0276574429057437,1.158929810066246,7.887321241382483,7.123889158553999,2.1256871985487003,22.978849653831695,25.914154613191048,176.36379732212447,159.29313708088264,47.53125361347224,167.66890092497428
12,Andrew Cogliano,13.287920861705317,0.4635042300176605,0.7061010515024266,5.164649941147715,4.184141325649458,2.67934926738287,8.212010036720441,12.510153190308205,91.50327959517581,74.1313850792277,47.47064136780225,82.21049977430053
13,Ryan Reaves,10.6582592314309,0.4618630244402321,0.8049631615017725,4.567649859728805,17.533462300055227,1.8333096764131231,6.563541125195599,11.439341396050759,64.91092837786479,249.1682485580124,26.05318637693569,109.59951447464518
14,Brad Marchand,18.273259247193916,1.1999726321341369,1.9161768104445849,10.088532205805816,3.5568299463886084,1.0552829704934648,29.23654799536632,46.68639416095341,245.80048589380635,86.65983427805584,25.711279065301294,194.70238996097692
15,Nick Foligno,13.083321407133422,0.6090068274269241,1.024601418351018,6.579160513705647,11.305331364174842,2.2661857000340264,10.623776083153446,17.873586227321518,114.76969545324268,197.21504513552745,39.53231450905976,127.00040216808587
16,Kyle Okposo,15.184989005397709,0.796501150787113,1.0824339788503483,7.717189870350086,3.8355853994906175,1.2821748421700288,16.12648162331858,21.915664090548578,156.2472577784435,77.65776282737201,25.959747841799235,119.13481944908942
17,Trevor Lewis,12.932243640533908,0.5681962513566835,0.7247773650073607,6.471123126712267,9.230830851900825,2.062569843349957,9.797403144243567,12.497329959225818,111.58152120338215,159.16713810845152,35.56487431975933,108.6705196556112
18,Milan Lucic,12.27833458884082,0.6131012521462189,0.8386195077744836,6.083261203485518,11.13843056746224,1.207874065807396,10.037149747584715,13.729134545578807,99.58975526361289,182.34850306916468,19.77424256155566,109.23155926433154
19,Claude Giroux,18.455270406033776,1.0713171443418168,1.7097208058201994,8.13419333934199,2.9555995188537034,1.0994031294858615,26.361930119264194,42.07114638697833,200.1583168166871,72.72851777651789,27.053042719868454,169.77997595377508
20,Jordan Staal,16.357587807715458,0.7775522422279223,0.8938774771823742,6.749328043698805,7.465139856171113,1.6470697686070048,16.958505436439037,19.49557242979981,147.20363482383945,162.81557425892711,35.92278448723021,139.89808169517707
21,Phil Kessel,13.796931159927066,0.8919929117277191,1.383336806372777,8.405672677015241,0.7410004609489798,1.419885435330923,16.40901973100032,25.447736918024745,154.62998303687885,13.631376465583063,26.120082141658422,106.86113679105547
22,Nicklas Backstrom,16.888638762881378,0.7095006953168703,1.306734486949098,5.905012519275382,2.044662374037612,1.7805333308479112,15.976667926959715,29.42528894544326,132.97016443777872,46.042085636235576,40.09437897328044,116.15528206118637
23,Jonathan Toews,17.504462860757997,0.7546033610622996,1.1286408318659067,5.999540168731552,0.9896052931402304,1.3865926601705758,17.61190201109091,26.3416686993757,140.02497075358295,23.096678800776928,32.362079630607305,110.4364050177993
