Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Ryan Suter,20.379471544715,0.11,0.79,32.89,3.3,3.26,0.16,8.47,2.23,0.39,2.91,4.13
Brent Burns,23.215243902439,0.57,1.36,53.51,8.04,7.06,0.39,17.46,4.85,0.76,1.26,2.71
Mark Giordano,18.950427350427,0.16,0.81,34.29,4.38,3.7,0.2,9.42,2.56,0.32,2.44,5.97
Alex Goligoski,17.666666666667,0.15,0.3,20.69,4.65,3.17,0.18,8.56,1.85,0.59,2.44,4.95
Alexander Edler,14.774479166667,0.13,0.57,25.58,3.55,3.57,0.1,9.77,2.54,0.13,6.73,6.6
Jack Johnson,19.143172690763,0.08,0.23,17.78,3.47,2.17,0.13,6.53,1.43,0.38,4.42,4.8
Marc Staal,18.193699186992,0.12,0.48,21.13,2.21,5.45,0.19,6.43,2.29,0.72,6.11,4.91
Marc-Edouard Vlasic,17.470512820513,0.04,0.75,36.73,2.95,1.49,0.19,7.88,2.6,0.75,1.98,5.11
Kris Letang,24.857552083333,0.45,1.09,42.27,6.07,7.45,0.32,14.11,4.11,0.72,6.11,4.07
Erik Johnson,17.254497354497,0.0,0.44,19.51,5.41,0.0,0.22,10.05,3.15,0.72,6.68,5.63
Jeff Petry,22.343169398907,0.22,1.14,43.06,4.97,4.42,0.26,11.14,2.42,0.31,8.36,4.89
Ian Cole,19.386324786325,0.12,0.56,25.76,4.33,2.75,0.2,8.65,2.62,0.56,4.64,4.88
Justin Braun,14.982679738562,0.0,0.16,8.0,3.3,0.0,0.11,7.85,2.12,0.0,3.69,3.85
Kevin Shattenkirk,19.303333333333,0.17,0.95,42.19,6.01,2.76,0.23,11.52,2.74,0.41,3.27,4.77
Brendan Smith,15.553333333333,0.0,0.32,14.71,3.73,0.0,0.24,8.23,3.66,0.9,6.56,4.89
Ryan McDonagh,21.529107981221,0.08,0.71,30.3,3.06,2.56,0.23,6.99,2.36,0.55,2.47,6.48
Alec Martinez,19.224891774892,0.12,0.45,17.28,3.08,3.95,0.15,7.98,2.19,0.53,1.95,9.89
Nick Holden,16.707179487179,0.11,0.77,41.03,4.03,2.74,0.18,8.23,2.1,0.39,4.36,3.81
Drew Doughty,26.229012345679,0.25,1.21,44.07,4.09,6.21,0.28,8.19,2.82,0.59,3.25,2.94
Alex Pietrangelo,23.981278538813,0.38,1.47,51.92,5.83,6.47,0.35,11.48,2.84,0.55,2.23,6.07
Zach Bogosian,14.975,0.09,0.35,20.0,4.7,1.85,0.17,10.19,3.4,0.44,9.93,4.36
Luke Schenn,16.354761904762,0.21,0.94,40.0,4.25,4.94,0.14,9.28,1.68,0.26,16.67,5.14
Tyler Myers,20.90641025641,0.04,0.59,24.29,3.68,1.0,0.21,8.02,2.5,0.37,3.42,5.3
Erik Karlsson,25.615040650407,0.71,2.17,67.33,5.97,11.96,0.37,14.43,5.77,0.97,0.94,2.57
John Carlson,23.389583333333,0.58,1.28,46.77,7.95,7.26,0.55,16.74,5.84,0.64,2.69,5.58
Roman Josi,25.167164179104,0.64,1.46,57.84,9.57,6.69,0.6,19.29,7.01,1.46,1.81,5.2
Justin Schultz,17.789497716895,0.32,1.25,42.5,4.53,7.14,0.25,9.93,2.82,0.69,1.39,3.33
Travis Hamonic,18.560222222222,0.26,0.65,35.59,5.86,4.41,0.21,11.94,2.67,0.47,4.7,6.16
Michael Stone,13.313194444444,0.56,0.47,35.48,8.64,6.52,0.26,19.53,3.47,0.19,5.07,5.54
TJ Brodie,21.217528735632,0.1,0.59,28.0,2.83,3.45,0.12,4.92,1.46,0.34,2.29,5.41
Jared Spurgeon,21.812025316456,0.38,0.8,38.64,5.19,7.38,0.36,10.1,3.48,1.04,2.3,6.23
Victor Hedman,23.719078947368,0.3,1.33,44.55,6.16,4.86,0.35,13.21,4.43,0.57,3.16,4.53
Oliver Ekman-Larsson,20.175925925926,0.11,1.1,44.0,4.96,2.22,0.19,10.85,2.81,0.28,3.19,2.37
Calvin de Haan,13.533018867925,0.17,0.84,37.5,4.27,3.92,0.26,12.8,4.02,0.84,7.03,4.1
Dmitry Kulikov,19.474129353234,0.14,0.6,33.33,3.86,3.57,0.19,6.81,2.12,0.55,4.41,4.97
Nick Leddy,21.124786324786,0.07,0.76,29.49,2.88,2.53,0.16,5.97,2.0,0.29,1.57,3.5
Brayden McNabb,19.843699186992,0.04,0.59,22.97,3.28,1.12,0.15,8.08,2.06,0.26,7.41,7.26
Tyson Barrie,19.778431372549,0.46,1.5,47.83,5.82,7.98,0.34,11.74,2.68,0.61,1.96,3.21
Dmitry Orlov,22.545454545455,0.28,1.17,51.43,5.0,5.65,0.28,9.6,3.51,0.77,5.52,3.43
Brian Dumoulin,20.640853658537,0.04,0.85,35.71,2.91,1.22,0.14,6.7,2.16,0.39,4.36,5.03
Mattias Ekholm,21.447863247863,0.32,0.82,36.78,4.84,6.67,0.28,10.26,3.23,0.93,3.26,3.73
Chris Wideman,13.511956521739,0.0,0.58,22.22,2.99,0.0,0.09,6.47,1.35,0.19,2.41,4.92
David Savard,22.387096774194,0.13,0.73,41.67,2.72,4.76,0.11,5.32,1.73,0.43,2.64,7.61
Ben Chiarot,20.607675438596,0.19,0.54,33.93,4.21,4.55,0.22,8.85,2.15,0.27,5.63,6.24
Nick Jensen,20.616666666667,0.19,0.91,49.15,4.12,4.59,0.21,9.71,2.65,0.45,4.04,4.84
Brenden Dillon,19.588414634146,0.07,0.78,38.33,3.1,2.41,0.13,7.62,1.79,0.22,7.4,4.03
Radko Gudas,17.36087962963,0.1,0.72,32.69,5.28,1.82,0.18,11.81,2.26,0.43,14.98,5.95
Matt Irwin,13.03825136612,0.15,0.23,21.74,5.96,2.53,0.21,10.56,2.26,0.68,8.83,5.66
Chris Tanev,20.120256410256,0.05,0.55,22.81,3.44,1.33,0.08,7.48,1.06,0.09,2.34,5.96
Justin Holl,20.241458333333,0.07,0.59,24.66,2.22,3.33,0.13,4.04,1.3,0.48,5.59,5.15
Patrik Nemeth,17.770888888889,0.0,0.23,14.71,2.79,0.0,0.1,6.26,1.67,0.32,5.22,5.31
Jon Merrill,15.145433789954,0.11,0.54,30.0,2.33,4.65,0.11,5.37,1.19,0.22,2.55,5.81
Justin Faulk,23.377235772358,0.34,1.22,44.25,6.13,5.61,0.39,11.02,3.63,0.85,3.51,4.38
Derek Forbort,17.732098765432,0.31,0.44,28.57,2.38,13.16,0.1,6.45,1.57,0.13,6.64,5.51
Cam Fowler,24.17337398374,0.3,1.15,51.06,3.93,7.69,0.23,8.9,3.0,0.58,0.54,3.15
Erik Gudbranson,21.299047619048,0.04,0.48,26.0,4.1,0.98,0.13,8.65,1.85,0.24,4.79,5.51
Jarred Tinordi,16.457575757576,0.17,0.5,40.0,2.65,6.25,0.1,6.46,1.49,0.25,11.52,5.63
Jani Hakanpää,19.330894308943,0.23,0.38,22.22,3.26,6.98,0.16,7.99,1.97,0.42,8.48,4.85
John Klingberg,20.621144278607,0.43,1.0,47.83,4.86,8.93,0.29,11.81,3.82,0.52,2.39,3.65
Dylan DeMelo,19.560888888889,0.25,0.86,42.86,3.8,6.45,0.21,7.93,2.09,0.45,4.91,4.17
Nick Seeler,14.48961038961,0.22,0.54,31.11,4.52,4.76,0.17,8.82,2.26,0.7,6.78,8.66
Scott Mayfield,20.990040650407,0.21,0.63,38.71,4.15,5.04,0.17,10.32,2.48,0.49,3.73,5.86
Joel Edmundson,19.565573770492,0.1,0.55,28.89,3.47,2.9,0.15,6.33,0.85,0.25,5.63,7.49
Scott Harrington,16.438148148148,0.32,0.57,31.43,2.68,12.12,0.15,6.81,2.19,0.41,4.14,6.33
Adam Larsson,23.639837398374,0.25,0.77,32.04,4.43,5.59,0.22,9.25,2.23,0.56,6.87,5.35
Dougie Hamilton,21.774390243902,0.74,1.75,53.62,9.24,8.0,0.47,18.89,7.22,1.18,2.15,2.89
Jonas Brodin,22.864166666667,0.13,0.48,24.14,3.94,3.33,0.18,7.87,1.79,0.39,2.19,5.69
Jamie Oleksiak,19.251333333333,0.37,0.66,36.23,3.16,11.84,0.15,6.69,2.24,0.42,5.24,4.78
Nathan Beaulieu,15.233333333333,0.0,0.3,17.39,2.5,0.0,0.09,5.98,1.51,0.38,3.71,6.06
Connor Murphy,19.39,0.27,0.23,24.07,3.29,8.24,0.12,6.85,1.59,0.35,6.38,6.19
Colin Miller,16.772151898734,0.27,0.68,30.88,4.8,5.66,0.26,12.36,3.53,0.41,4.89,3.17
Torey Krug,18.583597883598,0.36,1.28,45.07,6.46,5.56,0.36,12.86,4.25,0.41,2.05,4.46
Morgan Rielly,21.704102564103,0.17,1.57,43.16,5.36,3.17,0.34,10.29,3.87,0.81,2.98,3.62
Hampus Lindholm,23.186875,0.32,1.39,43.44,5.11,6.33,0.32,9.7,3.46,0.81,2.52,3.23
Matt Dumba,21.277637130802,0.14,0.36,25.93,3.53,4.04,0.22,9.21,2.68,0.61,3.71,4.14
Brady Skjei,21.808436213992,0.61,0.68,46.34,6.39,9.57,0.32,13.96,4.31,0.88,2.41,2.11
Olli Maatta,18.707051282051,0.25,0.7,46.94,2.55,9.68,0.13,5.63,1.32,0.12,3.21,5.26
Mike Matheson,24.451736111111,0.41,1.33,53.97,6.44,6.35,0.39,12.88,3.73,0.56,2.71,4.09
Cody Ceci,20.134375,0.04,0.52,21.13,3.28,1.14,0.15,7.15,2.16,0.48,5.18,4.1
Jacob Trouba,21.195731707317,0.28,0.76,34.09,6.87,4.02,0.3,12.5,3.31,0.66,7.53,6.77
Matt Grzelcyk,17.233333333333,0.19,1.02,33.33,4.74,3.92,0.2,9.33,2.27,0.32,2.37,3.62
Colton Parayko,23.002742616034,0.13,0.76,39.71,4.39,3.01,0.19,8.45,1.95,0.33,3.8,4.75
Esa Lindell,19.916869918699,0.29,0.59,31.58,4.26,6.9,0.26,8.49,2.5,0.48,3.2,5.4
Shayne Gostisbehere,20.816666666667,0.5,1.08,48.81,5.96,8.39,0.37,12.84,3.77,0.69,1.77,3.42
Adam Pelech,21.651912568306,0.27,0.68,35.59,4.41,6.19,0.23,10.45,3.04,0.5,3.5,5.0
Damon Severson,19.954938271605,0.26,0.97,42.31,3.79,6.86,0.22,9.09,3.34,0.71,1.63,4.27
Jake McCabe,19.475,0.12,0.89,35.71,3.89,3.13,0.18,7.5,2.11,0.57,6.61,6.12
Jaccob Slavin,21.991666666667,0.25,0.72,35.53,4.7,5.34,0.23,10.66,3.7,0.79,1.29,3.7
Brett Kulak,17.509349593496,0.13,0.71,30.3,4.76,2.63,0.15,8.82,1.67,0.33,4.39,4.43
Erik Gustafsson,19.772857142857,0.3,1.52,48.28,5.29,5.74,0.29,11.66,3.81,0.82,2.25,2.73
Matthew Benning,19.778571428571,0.04,0.91,43.64,2.29,1.72,0.13,6.15,2.05,0.28,4.02,4.92
Jaycob Megna,18.866049382716,0.06,0.65,24.49,3.3,1.79,0.17,7.42,2.12,0.41,5.06,3.89
Nate Schmidt,18.467370892019,0.32,0.55,36.54,4.62,6.93,0.27,11.21,3.2,0.69,2.06,3.89
Chad Ruhwedel,14.568439716312,0.09,0.35,22.73,3.15,2.78,0.13,8.5,2.02,0.35,7.89,4.47
Kyle Burroughs,17.363194444444,0.14,0.22,20.0,3.38,4.26,0.14,6.62,1.87,0.29,11.88,6.05
MacKenzie Weegar,21.098559670782,0.14,0.95,41.89,5.62,2.5,0.28,12.5,3.55,0.6,6.53,4.11
Connor Clifton,17.855769230769,0.22,0.78,35.38,4.01,5.38,0.23,7.41,2.54,0.69,8.96,5.17
Carson Soucy,16.29188034188,0.14,0.61,27.12,4.11,3.45,0.18,9.25,2.46,0.33,6.75,4.53
Josh Brown,15.7625,0.22,0.17,17.95,3.81,5.88,0.23,7.17,2.24,0.73,8.51,6.61
Ryan Graves,19.947863247863,0.31,0.69,29.89,5.44,5.67,0.22,11.18,3.43,0.54,3.2,5.86
Shea Theodore,21.43303030303,0.41,1.68,56.94,6.92,5.88,0.37,14.35,4.07,0.81,0.81,4.38
Brett Pesce,22.009552845528,0.17,0.83,35.71,4.79,3.47,0.21,11.5,2.59,0.4,1.23,3.66
Seth Jones,24.451157407407,0.41,0.85,41.57,6.07,6.74,0.33,11.25,3.27,0.75,3.61,4.26
Darnell Nurse,23.495731707317,0.37,0.97,43.43,6.32,5.91,0.31,12.49,3.86,0.75,4.55,5.11
Rasmus Ristolainen,19.024099099099,0.13,0.72,32.79,3.67,3.49,0.21,7.37,1.49,0.43,6.9,6.05
Josh Morrissey,24.231196581197,0.51,1.9,58.02,5.46,9.3,0.39,12.54,4.41,0.95,2.83,3.78
Ryan Pulock,20.905081300813,0.18,0.74,31.71,4.41,3.97,0.2,10.54,2.66,0.21,4.9,4.48
Nikita Zadorov,18.685772357724,0.55,0.27,29.17,5.09,10.77,0.26,10.49,3.29,0.47,6.81,2.94
Trevor van Riemsdyk,19.065333333333,0.29,0.67,33.82,4.07,7.22,0.17,8.14,2.06,0.46,0.88,6.71
Jordan Oesterle,15.655769230769,0.15,0.66,42.31,3.98,3.7,0.2,7.74,2.58,0.29,3.02,5.01
Aaron Ekblad,23.394131455399,0.51,0.87,36.19,7.8,6.48,0.54,13.58,4.91,1.34,2.78,2.89
Travis Sanheim,20.402674897119,0.25,0.58,39.66,4.03,6.31,0.27,7.48,2.83,0.84,2.21,4.97
Tony DeAngelo,22.058571428571,0.43,1.2,50.6,6.76,6.32,0.33,11.15,2.91,0.58,2.02,3.07
Marcus Pettersson,20.583823529412,0.04,0.99,36.36,4.12,1.04,0.23,9.26,2.96,0.81,5.7,5.62
Brandon Montour,24.12625,0.5,1.77,47.71,7.52,6.61,0.52,14.27,4.85,1.4,2.86,2.89
Jake Walman,19.718518518519,0.43,0.43,32.73,6.76,6.43,0.34,12.41,3.62,0.58,2.27,5.84
Devon Toews,25.10625,0.21,1.28,41.67,4.93,4.24,0.26,9.23,2.84,0.75,2.78,4.12
