,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
261,Denis Gurianov,14.185159817352,0.64,1.16,64.58,8.34,7.64,0.78,16.28,8.11,3.36,3.88,1.85,13.196212121212,0.48,0.69,58.62,7.99,6.03,0.69,15.64,6.96,3.44,2.96,1.86,0.6856994962509819
262,Jake DeBrusk,15.037878787879,1.3,0.88,75.0,9.59,13.51,0.97,14.41,9.22,4.15,3.21,1.3,16.7765625,1.51,1.29,57.47,10.67,14.14,1.39,16.65,11.57,7.32,4.75,1.23,1.1890899594880047
263,Yakov Trenin,14.667708333333,0.87,0.36,61.54,6.95,12.5,0.83,12.43,7.31,3.32,9.77,1.69,15.146753246753,0.62,0.62,66.67,7.2,8.57,0.9,13.32,8.33,3.6,8.59,1.54,0.7523899223808295
264,Anthony Cirelli,18.312938596491,0.73,1.12,58.9,6.29,11.64,0.76,11.21,8.02,3.75,3.23,2.89,16.56091954023,0.69,1.12,54.72,6.93,9.91,0.94,11.81,8.43,5.25,2.12,2.87,0.8088587999464186
265,Evan Rodrigues,15.836991869919,0.88,1.11,58.9,11.27,7.79,1.01,18.16,10.07,3.65,4.11,1.39,17.856280193237,0.78,1.12,50.0,8.96,8.7,0.87,15.15,8.52,3.6,1.66,1.31,0.919356419648547
266,Artemi Panarin,19.222444444444,0.92,3.08,83.48,7.37,12.43,0.71,15.4,7.91,1.5,0.92,0.58,19.607723577236,1.08,2.35,74.8,7.61,14.22,0.78,16.05,8.21,1.79,0.97,0.41,1.2031984896671633
267,Derek Ryan,11.430888888889,0.7,0.84,64.71,5.04,13.89,0.56,8.26,5.04,2.8,2.66,2.66,11.166041666667,0.87,0.47,57.14,6.18,14.13,0.73,10.08,7.12,4.57,3.63,2.82,0.7019772511828525
268,Conor Garland,16.38658008658,0.9,1.57,72.22,9.65,9.36,0.92,15.74,9.18,3.19,2.47,1.05,15.11378600823,0.83,1.42,71.88,8.18,10.18,0.86,13.72,8.18,2.84,2.3,0.98,0.9824038450710647
269,Kirill Kaprizov,19.106378600823,1.82,2.36,80.0,11.2,16.26,1.08,19.97,11.13,3.61,2.83,1.12,21.112686567164,1.7,1.48,76.53,11.07,15.33,1.42,21.12,12.89,5.05,2.8,1.19,1.5789434450204722
272,Troy Terry,18.236444444444,1.62,1.32,75.28,8.42,19.27,1.06,14.34,9.91,4.3,0.26,1.18,19.360952380952,1.02,1.68,70.93,8.32,12.23,1.08,15.58,10.94,4.83,0.53,1.02,1.2300908553449466
274,Mason Appleton,14.884803921569,0.47,0.77,52.5,5.81,8.16,0.67,10.14,5.39,2.79,3.79,1.19,16.019105691057,0.46,1.0,59.26,6.49,7.04,0.66,9.96,5.57,3.2,4.29,1.0,0.5539972976505873
275,Steven Lorentz,10.88855721393,0.66,0.41,56.52,6.58,10.0,0.85,11.68,7.98,4.61,5.51,1.07,11.833333333333,0.63,0.57,73.08,7.04,9.01,0.82,12.11,7.99,4.18,8.43,2.92,0.7317046210743644
