,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
338,Philipp Kurashev,12.853980099502,0.42,1.05,70.0,5.99,6.98,0.54,9.89,5.85,2.44,2.16,2.09,17.420476190476,0.44,0.79,51.02,5.71,7.76,0.63,10.28,6.1,2.8,1.87,1.67,0.5235838226643598
339,Brady Tkachuk,18.801687763713,1.21,1.49,63.81,11.63,10.42,1.4,18.62,12.28,6.95,10.91,1.01,18.632113821138,1.37,1.89,64.84,13.63,10.09,1.97,21.95,15.04,9.43,9.5,0.35,1.3607742807353143
340,Ryan McLeod,12.759624413146,0.6,0.79,65.63,5.43,10.98,0.54,9.47,5.89,2.72,1.85,1.66,14.18567251462,0.82,0.89,74.19,5.79,14.1,0.7,10.69,7.05,2.89,2.97,1.48,0.7452388693841893
341,Isac Lundestrom,15.485625,0.77,0.63,69.05,4.07,19.05,0.53,7.02,4.84,2.71,1.84,2.66,14.333879781421,0.27,0.69,51.85,4.12,6.67,0.44,7.14,4.8,2.61,1.37,2.95,0.48480044046890614
342,Joe Veleno,13.218181818182,0.55,0.48,60.0,5.02,10.96,0.47,8.6,5.09,2.27,8.46,1.72,12.775925925926,0.52,0.64,55.56,4.93,10.59,0.44,8.46,5.1,2.38,8.81,2.55,0.5238553692261986
344,Jesperi Kotkaniemi,12.023232323232,0.91,1.29,69.05,6.12,14.81,0.72,11.04,6.81,4.01,5.6,1.13,14.735975609756,0.89,1.24,69.35,6.41,13.95,0.89,12.07,7.8,4.12,5.21,1.04,0.8679381646714462
345,Andrei Svechnikov,17.259829059829,1.34,1.74,63.3,11.1,12.05,1.38,20.81,11.77,4.77,8.42,0.67,18.048177083333,1.19,1.66,65.48,10.65,11.22,1.28,21.35,11.79,4.57,7.27,0.88,1.3405192865894517
346,Rasmus Kupari,11.800877192982,0.45,0.71,56.52,4.55,9.8,0.52,8.83,4.91,2.59,6.07,1.52,10.094949494949,0.27,1.08,65.22,4.77,5.66,0.51,8.65,5.04,2.61,7.2,3.06,0.4843189656417788
347,Barrett Hayton,16.118055555556,0.62,0.87,55.81,5.09,12.2,0.61,9.31,6.33,3.29,5.21,2.05,17.497764227642,0.79,1.0,47.78,7.44,10.67,0.93,11.67,8.32,4.35,3.47,1.38,0.737943093327679
348,Yegor Sharangovich,16.50548245614,1.15,1.05,64.79,8.04,14.29,0.87,14.06,8.66,3.87,1.43,1.24,14.418222222222,0.72,0.94,65.22,7.27,9.92,0.98,13.21,8.99,4.38,1.22,2.27,0.9132819213788429
349,Logan O'Connor,13.871399176955,0.43,0.85,57.14,6.78,6.3,0.58,10.79,6.89,3.36,5.34,3.15,14.204471544715,0.46,0.88,61.9,5.36,8.65,0.63,10.15,6.54,3.5,5.98,2.58,0.5934441113578108
350,Nico Sturm,11.904279279279,0.61,0.75,60.61,6.88,8.91,0.65,10.22,5.65,3.13,6.74,1.98,14.73018018018,0.77,0.66,63.41,6.61,11.67,0.7,10.68,6.05,3.25,5.5,2.48,0.6450160822198274
351,Blake Lizotte,12.16380952381,0.7,0.99,60.0,6.41,10.99,0.68,9.94,6.06,3.31,5.21,0.85,12.943827160494,0.63,1.32,65.38,6.18,10.19,0.68,10.01,6.24,3.55,5.49,2.23,0.7009456917240328
352,Peyton Krebs,14.549415204678,0.51,1.09,57.89,4.05,12.5,0.38,7.16,4.63,1.88,1.81,0.58,13.836486486486,0.53,1.0,70.27,4.63,11.39,0.49,8.38,5.04,2.58,5.45,1.17,0.608921747137451
353,Kirby Dach,18.036666666667,0.43,0.81,44.83,5.51,7.76,0.64,9.41,5.89,2.99,2.33,2.09,18.495689655172,0.78,1.34,58.46,5.98,13.08,0.77,10.35,6.71,3.86,2.96,2.13,0.70868985200049
354,Dylan Cozens,15.896202531646,0.62,1.19,56.72,7.64,8.13,0.75,12.66,7.69,3.39,1.67,1.05,16.496913580247,1.39,1.66,68.0,9.47,14.69,1.16,15.09,10.78,4.54,2.47,1.35,1.108590808634816
355,Trevor Zegras,17.905333333333,1.03,1.7,79.22,8.09,12.71,0.77,14.88,8.13,2.59,2.5,1.21,18.827160493827,0.9,1.65,69.89,7.24,12.5,0.64,14.52,7.71,2.05,1.81,1.14,1.0107490196535234
357,Cole Caufield,16.680348258706,1.23,1.07,66.15,10.09,12.23,0.96,17.56,10.58,2.95,0.97,0.38,18.049637681159,1.88,0.72,64.29,11.42,16.46,1.18,21.25,10.91,3.32,1.3,0.87,1.374669031989515
358,Kaapo Kakko,15.445736434109,0.63,0.99,52.94,5.6,11.29,0.63,10.21,6.59,3.43,0.72,1.36,15.306910569106,0.86,1.05,60.61,6.02,14.29,0.74,10.8,7.07,3.44,1.24,1.29,0.7823611981883499
359,Matt Boldy,15.373758865248,1.25,1.99,60.94,9.38,13.27,0.81,16.28,9.13,2.91,1.91,1.99,18.499794238683,1.24,1.28,64.29,10.21,12.16,1.17,19.46,10.85,3.84,2.6,1.04,1.2300585448903685
360,Jack Hughes,19.565306122449,1.63,1.88,77.78,10.33,15.76,1.1,18.53,11.52,4.44,0.38,0.94,19.966025641026,1.66,2.16,79.84,12.95,12.8,1.45,21.34,13.18,4.58,0.46,1.16,1.563396140740565
361,Arthur Kaliyev,12.649166666667,0.83,0.77,52.94,11.5,7.22,0.97,18.38,9.66,3.74,1.84,0.71,11.677678571429,1.19,1.38,60.87,11.19,10.66,1.28,20.83,13.03,5.69,3.67,0.92,1.1553396452079365
365,Alex Newhook,13.564319248826,0.81,1.25,71.74,7.04,11.5,0.63,12.65,7.97,2.43,2.49,2.24,13.953048780488,0.73,0.84,54.55,6.08,12.07,0.73,10.07,6.97,3.15,3.15,1.36,0.7866928219088164
366,Ilya Mikheyev,15.259119496855,1.56,0.82,64.0,10.91,14.29,1.17,15.21,10.53,5.34,3.86,1.34,16.91231884058,1.0,1.16,58.33,7.02,14.29,0.76,10.64,7.4,3.62,1.0,1.08,1.0290529167778244
367,Lucas Raymond,18.156910569106,0.93,1.37,65.52,7.42,12.5,0.78,11.57,7.7,3.18,2.5,0.97,17.375900900901,0.79,1.31,60.0,6.25,12.69,0.77,11.43,7.09,3.36,2.01,0.93,0.8651245191914766
368,Seth Jarvis,13.875,1.08,1.46,68.97,7.0,15.45,0.95,12.91,8.97,4.52,4.39,1.34,16.203455284553,0.63,1.13,54.17,8.44,7.49,1.12,14.68,9.75,5.83,3.3,2.17,0.9056321269216195
369,Alexis Lafrenière,13.996624472574,1.03,0.65,63.27,5.97,17.27,0.63,10.47,6.51,3.31,5.86,1.41,15.219547325103,0.78,1.12,57.35,6.57,11.85,0.73,11.63,7.2,3.65,6.86,1.36,0.7898885862027643
370,Dawson Mercer,16.541260162602,0.75,1.11,54.55,6.81,11.04,0.74,10.93,7.87,4.11,1.15,1.55,16.560365853659,1.19,1.28,62.92,7.11,16.77,1.17,12.11,8.53,4.68,1.59,2.78,0.9469943823959873
371,Anton Lundell,15.735641025641,1.06,1.53,57.89,7.33,14.4,0.83,13.08,8.1,2.93,1.53,3.29,16.370547945205,0.6,1.05,54.1,7.63,7.89,0.82,13.1,7.18,3.41,1.46,1.61,0.8523274405696308
372,Tim Stützle,18.411392405063,0.91,1.49,67.44,7.3,12.43,0.9,12.95,8.75,3.55,5.16,2.15,21.264957264957,1.41,1.84,73.17,8.25,17.11,1.07,15.99,9.98,4.02,4.12,1.77,1.2159242075805947
373,Alexander Barabanov,17.180714285714,0.5,1.45,60.94,5.14,9.71,0.54,8.28,5.74,3.04,2.64,1.95,18.05318627451,0.73,1.56,58.75,5.87,12.5,0.88,10.61,8.11,4.64,1.96,1.81,0.7567061591356641
375,Cole Sillinger,13.699156118143,0.89,0.83,72.09,8.21,10.81,0.88,14.08,9.15,3.71,5.43,2.38,13.309114583333,0.21,0.56,36.67,6.55,3.23,0.79,12.61,7.82,3.38,7.4,2.54,0.6073962295398977
