Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Matt Cullen,11.892194092827,0.7,0.7,62.86,6.64,10.58,0.68,10.73,6.71,4.02,0.89,2.68
Joe Thornton,18.345035460993,0.9,1.6,62.07,5.22,17.33,0.56,9.19,4.87,1.11,2.23,1.25
Patrick Marleau,16.987804878049,1.16,0.86,56.63,8.79,13.24,1.09,13.91,9.91,5.0,3.66,1.12
Jason Chimera,10.29954954955,0.24,0.79,56.52,6.22,3.8,0.48,10.39,5.75,2.52,10.39,1.34
Daniel Sedin,15.27037037037,1.12,1.55,77.46,9.17,12.17,0.97,15.04,10.09,4.9,1.84,0.1
Henrik Sedin,15.54837398374,0.14,2.21,67.57,3.15,4.48,0.36,5.88,3.58,1.79,0.85,0.89
Derek MacKenzie,11.308,0.21,0.78,66.67,6.08,3.49,0.5,8.49,3.68,1.77,8.77,3.18
Henrik Zetterberg,19.49674796748,0.41,1.69,70.89,6.76,6.11,0.63,12.46,6.12,2.14,1.84,1.28
Joel Ward,11.874038461538,0.49,0.68,63.16,3.89,12.5,0.56,7.97,5.73,3.21,3.4,2.62
Marian Gaborik,13.973188405797,1.03,0.93,60.0,7.47,13.75,0.88,15.5,8.87,3.17,1.12,0.84
Scott Hartnell,12.018010752688,1.05,0.89,70.59,6.6,15.85,0.64,10.71,6.36,3.3,6.6,2.01
Justin Williams,16.588008130081,0.71,1.54,73.91,8.73,8.08,0.9,15.75,7.85,3.66,3.48,1.85
Antoine Vermette,13.749739583333,0.55,0.55,48.48,6.2,8.79,0.76,9.61,5.32,2.8,2.59,2.73
Jason Spezza,13.005982905983,0.47,1.06,59.09,8.16,5.8,0.81,16.26,7.69,3.79,0.95,1.54
Mikko Koivu,18.487195121951,0.55,1.23,56.96,6.73,8.24,0.69,11.24,6.69,3.13,2.02,2.1
Mike Cammalleri,13.771717171717,0.46,1.45,72.5,8.45,5.47,0.79,14.52,7.06,2.57,2.84,2.11
Jason Pominville,14.903048780488,0.79,0.88,60.71,8.25,9.52,0.65,13.65,6.09,2.6,1.91,1.72
Tomas Plekanec,15.136147186147,0.31,1.03,59.09,7.41,4.17,0.62,11.74,6.23,2.37,3.14,2.11
Patrick Sharp,12.883571428571,0.67,0.73,56.76,9.51,6.99,0.72,16.17,7.98,2.66,3.06,1.66
Jussi Jokinen,11.575555555556,0.43,1.04,62.96,6.31,6.85,0.55,11.92,7.0,2.76,1.81,1.9
Rick Nash,17.054929577465,1.04,0.64,64.15,11.4,9.13,1.16,18.09,11.59,6.64,2.53,2.08
Valtteri Filppula,16.476748971193,0.49,0.99,64.71,3.19,15.49,0.45,5.57,3.87,1.75,1.12,2.47
Scottie Upshall,10.853703703704,0.61,1.05,86.36,6.23,9.86,0.53,10.53,4.48,2.19,10.44,2.11
Frans Nielsen,15.827637130802,0.77,0.82,66.0,6.43,11.94,0.59,11.37,5.85,2.06,2.35,2.98
Matt Stajan,10.934803921569,0.32,0.65,63.16,5.24,6.15,0.6,7.99,5.24,3.39,5.97,2.5
Alexander Steen,18.693859649123,0.63,1.31,57.5,7.09,8.93,0.73,12.8,6.33,2.79,2.24,2.45
Alexandre Burrows,11.689671361502,0.43,0.58,51.85,6.51,6.67,0.62,11.28,5.78,2.75,4.7,2.31
Chris Kunitz,11.946341463415,0.8,0.98,74.36,4.96,16.05,0.48,8.15,4.78,2.39,8.02,1.84
Eric Staal,17.811991869919,1.73,1.4,73.79,9.94,17.36,0.97,16.31,8.79,3.78,1.73,2.01
Thomas Vanek,14.087708333333,1.28,1.7,83.58,8.94,14.29,1.02,14.16,8.25,4.53,1.92,0.96
Dustin Brown,19.836419753086,1.05,1.23,55.45,8.29,12.61,0.9,13.74,8.18,4.41,7.06,1.23
Zach Parise,17.082936507937,1.25,0.75,60.0,9.95,12.61,1.03,14.47,9.78,5.27,2.17,3.09
Ryan Getzlaf,21.425595238095,0.55,2.5,71.76,5.85,9.4,0.58,12.1,5.15,1.8,4.8,2.85
Ryan Kesler,18.034848484848,0.6,0.45,51.85,5.9,10.26,0.83,10.36,6.88,4.23,5.37,2.87
Brian Boyle,13.278743961353,0.85,0.65,52.27,7.86,10.83,0.77,12.84,6.94,3.47,8.25,1.7
Corey Perry,17.776995305164,0.81,1.52,62.03,8.03,10.06,1.02,13.64,9.17,4.75,2.8,1.71
Loui Eriksson,16.269333333333,0.74,0.96,63.89,7.45,9.9,0.83,10.92,6.56,4.35,0.52,2.21
Patrice Bergeron,19.4375,1.45,1.59,69.23,10.8,13.39,1.14,19.2,11.86,4.15,2.32,2.03
David Backes,15.395321637427,0.96,1.3,68.75,10.94,8.75,1.06,16.41,8.89,4.17,9.37,1.71
Brad Richardson,14.765131578947,0.16,0.64,60.0,5.61,2.86,0.59,9.89,6.26,3.1,3.85,2.78
Nate Thompson,12.767632850242,0.34,0.82,68.0,3.61,9.43,0.37,7.36,3.34,1.09,8.31,2.66
Joe Pavelski,19.255487804878,0.84,1.67,66.0,8.51,9.82,1.01,14.4,9.65,5.05,3.53,2.66
Kyle Brodziak,13.462757201646,0.55,1.27,75.0,6.22,8.85,0.47,9.74,4.62,1.76,4.57,3.03
Alex Ovechkin,20.144308943089,1.78,1.38,66.92,12.89,13.8,1.31,25.61,12.35,3.81,5.05,0.76
Evgeni Malkin,18.989957264957,1.7,2.27,77.17,9.68,17.57,1.14,15.35,9.88,4.09,1.94,1.3
Andrew Ladd,15.893150684932,0.62,0.88,51.79,5.79,10.71,0.7,11.38,7.65,3.98,3.93,2.07
Blake Wheeler,20.25658436214,0.84,2.49,78.45,9.0,9.35,0.73,14.99,7.09,2.82,3.44,2.41
Drew Stafford,13.859322033898,0.59,0.51,50.0,7.48,7.84,0.9,12.18,7.85,3.89,5.65,1.1
Alexander Radulov,20.127845528455,0.98,1.64,65.45,7.89,12.44,0.91,14.1,8.18,3.93,2.8,2.33
Travis Zajac,17.907936507937,0.64,0.74,47.27,4.84,13.19,0.59,8.08,5.74,3.14,3.4,2.02
Blake Comeau,15.872362869198,0.62,1.0,73.91,5.89,10.57,0.46,10.48,5.22,1.77,6.94,1.82
Carl Soderberg,17.35303030303,0.72,0.94,66.07,6.74,10.67,0.68,11.5,6.78,3.77,3.19,2.87
Brandon Dubinsky,15.341935483871,0.38,0.63,51.61,5.61,6.74,0.53,9.52,5.42,2.4,9.15,2.96
David Krejci,16.87578125,0.94,1.5,57.14,6.61,14.29,0.75,11.17,6.67,2.56,1.72,1.94
Torrey Mitchell,11.4025,0.53,0.44,61.11,4.82,10.91,0.47,7.72,4.91,2.28,4.65,2.54
Ryan Callahan,13.321144278607,0.34,0.87,56.25,6.99,4.81,0.68,12.03,7.13,2.69,9.28,2.69
Troy Brouwer,13.931359649123,0.34,0.91,68.75,4.48,7.59,0.52,9.63,4.31,1.98,7.08,2.38
Daniel Winnik,13.567901234568,0.33,0.93,54.76,4.48,7.32,0.42,8.24,4.42,2.07,1.47,2.89
Paul Stastny,18.304674796748,0.64,1.48,60.23,6.36,10.06,0.89,9.71,7.4,4.76,1.72,1.52
Sidney Crosby,20.689227642276,1.03,2.12,69.53,8.74,11.74,1.15,14.57,9.9,5.02,2.65,1.27
Bobby Ryan,16.441666666667,0.65,1.29,66.0,6.59,9.82,0.61,13.89,6.77,2.94,5.71,3.06
Benoit Pouliot,13.682657657658,0.77,0.36,61.29,4.92,15.66,0.47,8.59,5.04,2.61,4.09,2.01
Anze Kopitar,22.084959349593,1.16,1.89,79.31,6.63,17.5,0.64,11.6,6.59,2.78,1.66,2.12
T.J. Oshie,18.411486486486,0.79,1.28,51.65,5.59,14.17,0.7,10.57,7.22,3.26,5.46,2.38
Andrew Cogliano,15.202083333333,0.59,1.13,70.0,8.63,6.86,0.93,14.95,7.7,3.26,3.95,1.53
James Neal,17.175117370892,1.23,0.93,56.41,9.94,12.38,0.96,17.81,10.53,3.99,2.16,1.48
Justin Abdelkader,16.550888888889,0.63,1.06,60.34,5.32,11.82,0.73,9.72,6.82,3.77,8.41,1.93
Vladimir Sobotka,17.124279835391,0.48,0.87,68.89,5.88,8.09,0.5,9.91,5.1,1.86,5.49,1.95
Tom Pyatt,14.053909465021,0.37,0.79,66.67,5.43,6.8,0.5,8.28,5.22,2.95,2.9,4.9
Darren Helm,15.566222222222,0.67,0.93,72.09,7.25,9.22,0.59,11.46,5.14,1.75,6.73,1.85
Ryan Reaves,7.5957805907173,0.4,0.6,52.63,4.2,9.52,0.55,7.9,5.0,2.9,23.6,2.7
Patric Hornqvist,17.322857142857,1.43,0.99,48.04,12.22,11.74,1.58,18.65,13.85,8.96,6.78,3.17
David Desharnais,13.056807511737,0.39,1.42,71.79,3.56,10.91,0.38,6.34,4.14,1.94,1.42,2.33
Bryan Little,16.933739837398,0.69,1.17,58.11,5.57,12.4,0.58,9.98,6.35,2.55,2.16,1.43
Brad Marchand,19.715931372549,1.52,2.28,75.22,8.15,18.68,0.94,13.78,9.62,4.3,1.66,1.12
Nick Foligno,18.350231481481,0.68,0.82,55.93,6.22,10.95,0.64,9.45,5.9,3.09,8.27,2.72
Kyle Okposo,17.027192982456,0.7,1.34,63.77,7.46,9.32,0.84,12.94,7.42,3.43,3.25,1.58
Trevor Lewis,15.234558823529,0.81,0.7,76.47,7.76,10.45,0.73,13.32,7.01,3.3,7.24,1.85
Leo Komarov,15.786936936937,0.36,0.62,45.24,5.85,6.14,0.58,8.83,5.8,2.82,11.25,2.47
Jamie McGinn,13.454166666667,0.76,0.94,55.77,6.87,11.11,0.82,10.68,6.45,3.29,7.04,1.29
Milan Lucic,15.960569105691,0.46,1.1,53.97,6.74,6.8,0.9,12.93,8.3,4.58,11.64,1.15
Cal Clutterbuck,12.788815789474,0.49,0.62,54.55,6.23,7.92,0.49,10.37,5.49,2.28,13.95,3.27
Claude Giroux,20.363414634146,1.22,2.44,72.86,6.93,17.62,0.69,12.97,6.14,2.23,1.08,0.83
Jordan Staal,19.250843881857,0.75,1.07,55.42,6.31,11.88,0.9,10.89,7.77,4.69,7.14,1.26
Patrik Berglund,16.155847953216,1.11,0.59,72.22,7.3,15.18,0.7,11.92,7.17,2.74,7.23,2.35
Derick Brassard,17.732638888889,0.99,1.17,57.5,9.26,10.66,0.91,14.9,9.02,4.14,4.51,1.17
Michael Grabner,14.818125,1.37,0.46,70.59,8.45,16.17,1.08,13.16,8.45,4.71,3.44,1.87
Phil Kessel,18.685975609756,1.33,2.27,70.77,10.22,13.03,0.87,17.58,9.55,2.78,0.39,0.67
Nicklas Backstrom,19.66049382716,0.79,1.88,65.74,6.22,12.73,0.66,10.51,6.1,2.83,1.39,1.92
Michael Frolik,16.922619047619,0.51,0.76,71.43,8.46,5.99,0.75,14.23,7.4,3.24,2.43,1.77
Artem Anisimov,16.788657407407,0.99,0.55,57.41,6.45,15.38,0.87,11.22,7.89,3.92,0.74,1.99
Jonathan Toews,19.690540540541,0.82,1.32,65.82,8.69,9.48,0.95,14.04,8.94,3.87,1.32,0.99
Mathieu Perreault,14.458333333333,1.01,1.3,59.09,8.24,12.23,0.96,13.64,8.77,4.62,7.11,1.48
Mark Letestu,12.848125,0.53,0.82,67.65,6.48,8.11,0.62,10.92,5.37,2.1,3.62,1.87
Alex Killorn,16.497967479675,0.67,1.42,47.96,6.92,9.62,0.69,12.29,7.58,3.02,3.64,1.11
Jamie Benn,19.822967479675,1.33,1.59,64.75,8.9,14.94,1.08,14.43,9.49,4.58,5.17,2.29
