Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Jason Spezza,10.746009389671,0.94,1.02,67.57,7.63,12.37,0.72,13.76,6.53,2.6,2.44,1.89
Jeff Carter,17.670833333333,0.85,1.16,64.29,8.94,9.5,0.92,14.07,7.86,4.15,4.42,2.23
Dustin Brown,14.738802083333,0.57,1.21,62.22,9.29,6.16,1.0,15.14,8.33,4.52,5.6,1.27
Zach Parise,15.282113821138,0.72,0.96,55.56,6.61,10.87,0.84,9.72,7.23,3.97,2.87,2.73
Ryan Getzlaf,18.958035714286,0.17,1.92,69.81,5.88,2.88,0.53,10.85,5.03,1.41,5.03,3.16
Brian Boyle,10.788888888889,0.93,0.84,77.78,7.33,12.64,0.64,10.28,5.9,3.2,8.0,3.29
Corey Perry,13.514837398374,1.03,1.14,62.5,8.28,12.42,1.16,13.1,10.34,6.55,3.95,1.52
Loui Eriksson,12.920319634703,0.19,1.02,61.29,5.15,3.7,0.48,7.76,4.71,2.54,1.08,1.46
Patrice Bergeron,18.180136986301,1.13,1.81,65.66,13.25,8.53,1.33,19.3,12.57,5.2,3.53,2.03
Joe Pavelski,18.473983739837,1.07,2.14,70.43,8.56,12.5,1.16,14.81,9.78,5.94,4.12,2.73
Alex Ovechkin,20.571861471861,1.89,1.52,69.77,12.65,14.97,1.35,24.32,10.83,2.69,5.87,0.95
Evgeni Malkin,18.329674796748,1.6,1.76,73.68,10.3,15.5,1.05,16.21,10.06,3.83,1.68,1.44
Andrew Ladd,14.120261437908,0.58,0.42,48.0,4.75,12.28,0.68,8.92,5.5,3.42,5.67,2.75
Blake Wheeler,19.538205128205,0.8,2.03,75.0,7.89,10.18,0.92,12.43,8.93,4.25,2.93,1.75
Alexander Radulov,14.087323943662,0.24,1.08,50.0,5.52,4.35,0.81,11.34,7.86,4.38,2.58,2.88
Paul Stastny,17.783098591549,1.0,1.14,55.56,6.7,14.89,0.94,9.31,7.65,5.37,1.28,1.28
Sidney Crosby,19.974396135266,1.35,2.31,71.79,9.06,14.9,1.05,14.54,9.14,4.53,2.18,1.61
Anze Kopitar,20.769547325103,0.68,1.71,72.83,7.49,9.05,0.69,12.59,6.92,2.67,2.57,2.53
T.J. Oshie,17.450757575758,0.86,1.09,58.14,6.02,14.29,0.86,10.78,6.88,3.36,6.72,2.34
Andrew Cogliano,12.66981981982,0.26,0.77,57.14,4.8,5.33,0.45,8.19,4.67,2.37,6.66,1.98
Darren Helm,10.551225490196,0.59,0.67,68.18,7.78,7.53,0.66,12.21,6.94,3.51,9.53,2.26
Ryan Reaves,10.649275362319,0.41,0.65,72.22,3.59,11.36,0.4,5.96,4.16,2.29,22.78,1.31
Patric Hornqvist,12.670256410256,0.8,1.24,58.33,12.02,6.67,1.38,17.48,11.29,6.63,8.16,1.68
Brad Marchand,19.25119047619,1.42,2.14,76.92,10.77,13.22,1.14,17.72,10.11,3.74,3.47,0.89
Nick Foligno,12.472916666667,0.15,0.83,65.0,7.44,2.02,0.61,11.2,5.94,3.16,12.33,2.33
Kyle Okposo,16.786036036036,1.01,1.16,76.27,8.4,12.07,0.72,14.68,8.31,3.19,2.85,0.92
Trevor Lewis,12.826041666667,0.35,0.58,50.0,6.32,5.56,0.55,10.53,5.67,2.34,10.29,2.34
Milan Lucic,12.258333333333,0.6,0.66,53.85,5.67,10.53,0.72,10.21,6.27,2.57,12.48,1.31
Cal Clutterbuck,14.041807909605,0.43,0.65,83.33,5.36,8.11,0.56,8.18,5.29,2.1,16.58,1.67
Claude Giroux,19.070222222222,0.88,1.85,72.22,8.6,10.24,0.69,14.22,6.46,2.35,2.85,0.67
Jordan Staal,16.632051282051,0.79,0.88,59.02,6.75,11.64,0.93,10.82,8.05,4.81,9.8,1.34
Phil Kessel,16.678455284553,0.35,1.93,65.82,7.68,4.57,0.79,13.6,7.37,2.72,0.26,0.92
Nicklas Backstrom,17.490780141844,0.44,1.82,51.67,4.96,8.82,0.55,8.83,5.04,2.55,1.17,1.17
Jonathan Toews,17.475352112676,0.58,1.21,60.66,6.04,9.6,0.59,9.09,6.33,2.95,1.21,1.06
Alex Killorn,18.69756097561,0.98,1.33,54.13,6.42,15.24,0.87,10.68,8.26,4.46,3.44,1.02
Jamie Benn,16.741869918699,0.79,1.22,68.66,7.95,9.89,1.0,13.85,8.74,4.11,6.25,2.62
Nick Bonino,16.699791666667,0.72,0.45,49.06,6.15,11.68,0.71,9.48,5.93,3.32,1.53,4.58
Pat Maroon,12.396090534979,0.66,0.96,55.1,6.1,10.78,0.71,9.32,6.69,4.06,9.56,0.66
James van Riemsdyk,16.112398373984,1.09,0.64,64.41,8.49,12.83,1.12,12.94,8.86,5.36,1.54,1.14
Sam Gagner,13.621193415638,0.71,0.98,67.39,7.18,9.85,0.68,10.06,4.95,2.34,1.14,1.36
Logan Couture,18.932683982684,0.95,1.36,68.29,8.19,11.56,0.9,12.92,8.4,4.03,3.79,2.39
David Perron,16.98631840796,1.42,1.58,72.15,9.33,15.25,0.91,16.82,9.17,2.06,4.22,0.58
Patrick Kane,21.823290598291,0.92,2.33,79.31,10.12,9.06,0.78,18.12,7.75,1.97,0.39,0.92
Evgenii Dadonov,15.809615384615,0.97,1.12,57.33,8.61,11.3,0.92,14.6,9.1,4.57,3.16,1.22
Mikael Backlund,17.118292682927,0.51,1.15,60.0,9.15,5.61,0.87,15.17,8.21,2.95,2.65,1.15
Max Pacioretty,17.378632478632,1.68,1.59,74.0,13.1,12.84,1.28,23.19,13.37,3.98,2.66,1.86
Jakub Voracek,17.453164556962,0.26,2.44,70.45,6.4,4.08,0.5,11.01,5.27,1.91,1.17,1.22
Carl Hagelin,14.237106918239,0.24,0.87,50.0,5.65,4.23,0.59,9.3,4.69,2.39,2.54,0.95
Lars Eller,16.119212962963,0.67,0.93,57.41,6.0,11.21,0.59,11.01,6.57,2.64,4.91,1.86
Wayne Simmonds,9.3303240740741,0.45,0.98,64.0,7.06,6.33,0.81,11.88,8.66,4.82,13.22,0.98
Steven Stamkos,18.478600823045,1.68,2.57,75.71,9.66,17.43,1.03,16.07,9.02,2.97,3.73,1.24
Josh Bailey,16.891441441441,0.67,1.44,67.69,4.18,16.09,0.47,7.49,5.33,2.21,0.91,1.25
Jordan Eberle,17.951054852321,0.89,0.97,62.86,6.94,12.8,0.8,13.12,8.46,3.81,2.03,1.69
Tyler Ennis,12.54269005848,0.67,1.34,77.42,7.47,8.99,0.68,13.18,8.31,3.27,5.87,2.01
Derek Stepan,10.795689655172,0.86,0.96,76.0,9.2,9.38,1.05,13.89,8.53,4.12,2.78,2.4
Adam Henrique,17.419540229885,1.13,1.37,59.15,8.37,13.48,1.1,13.84,10.04,5.23,1.31,2.79
Gustav Nyquist,17.844308943089,0.74,1.44,55.79,5.0,14.75,0.58,8.53,5.62,2.67,1.68,2.09
