Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Derek Ryan,13.803909465021,0.7,1.34,67.86,5.53,12.62,0.57,9.61,5.37,2.79,1.02,1.02
Denis Malgin,12.889333333333,0.65,0.84,72.73,6.14,10.61,0.55,10.99,6.33,2.42,3.72,1.96
Conor Garland,12.790070921986,1.3,0.5,60.0,11.78,11.02,1.02,17.87,9.28,4.19,3.29,1.7
Dominik Simon,13.324882629108,0.51,1.27,60.87,7.67,6.61,0.7,13.06,7.23,3.74,5.64,1.2
Adam Gaudette,10.949107142857,0.49,0.68,50.0,5.38,9.09,0.56,10.76,6.26,2.35,4.7,1.47
Brandon Tanev,14.110208333333,0.74,0.8,78.38,6.75,11.02,0.64,11.64,6.48,2.87,14.78,4.31
Matthew Tkachuk,17.598958333333,1.45,1.83,71.3,8.82,16.43,1.12,14.66,8.86,5.37,4.43,0.55
Luke Kunin,15.88537414966,0.46,0.85,56.67,6.78,6.82,0.56,12.64,6.09,2.31,5.16,2.62
Auston Matthews,18.554901960784,1.76,1.71,79.35,11.94,14.74,1.33,21.26,15.26,5.33,1.33,2.85
Alex DeBrincat,17.7,1.69,1.45,66.67,9.09,18.64,0.91,16.7,10.62,3.1,1.45,1.07
Patrik Laine,17.233130081301,1.27,0.85,52.08,10.4,12.24,0.97,19.96,8.58,2.38,2.97,1.87
Clayton Keller,18.235162601626,0.56,1.32,64.38,8.03,7.0,0.76,14.04,7.34,2.41,0.64,0.84
Brett Howden,14.938636363636,0.37,1.03,57.5,4.5,8.11,0.61,7.67,5.96,4.02,3.89,2.86
Tyson Jost,13.005952380952,0.72,0.99,60.47,7.51,9.65,0.71,13.05,8.3,3.43,3.16,2.31
Pierre-Luc Dubois,17.715447154472,1.12,1.4,58.1,7.19,15.52,0.85,12.76,9.29,3.97,4.75,2.15
Henrik Borgstrom,12.003,0.8,1.0,62.07,5.4,14.81,0.48,9.0,5.2,2.2,1.1,1.2
Jesper Bratt,15.167647058824,0.62,1.94,80.49,7.06,8.79,0.57,10.86,5.89,2.02,2.79,1.71
Tage Thompson,12.129743589744,0.53,0.38,66.67,8.22,6.48,0.65,15.6,7.69,2.82,5.02,0.68
Drake Caggiula,14.428484848485,0.91,0.83,58.97,7.26,12.5,0.79,11.19,7.26,4.08,10.21,1.97
Nolan Patrick,15.082638888889,0.72,0.99,65.96,6.35,11.3,0.82,11.22,7.13,3.7,3.98,1.44
Michael Rasmussen,12.076075268817,0.64,0.8,54.55,5.93,10.81,0.79,10.5,7.29,4.25,6.73,2.24
Casey Mittelstadt,13.451731601732,0.7,0.75,53.19,6.84,10.17,0.66,11.35,7.47,2.72,1.74,0.93
Nico Hischier,18.1038647343,0.82,1.44,58.75,7.69,10.63,0.89,11.91,8.6,5.19,2.55,2.11
Elias Pettersson,18.226291079812,1.3,1.76,76.74,6.68,19.44,0.66,12.38,6.95,1.95,1.95,2.36
Robert Thomas,13.072619047619,0.59,1.57,70.21,5.25,11.25,0.55,8.26,6.1,2.82,0.85,1.44
Filip Chytil,13.786,0.64,0.7,60.53,7.72,8.27,0.9,14.1,8.76,4.76,1.68,1.22
Alex Iafallo,16.829674796748,0.65,0.78,58.93,6.43,10.14,0.6,10.3,5.96,2.52,3.78,2.35
David Kampf,13.92037037037,0.27,1.03,70.37,4.93,5.56,0.48,8.48,5.27,2.67,2.67,2.05
Brady Tkachuk,16.024882629108,1.16,1.21,67.16,11.29,10.28,1.33,17.67,11.5,6.64,9.18,1.37
Jesperi Kotkaniemi,13.741561181435,0.61,1.27,73.91,7.41,8.21,0.59,14.43,6.69,2.43,3.65,2.27
Andrei Svechnikov,14.64674796748,1.0,0.85,59.68,9.44,10.58,1.25,15.49,9.69,5.89,6.14,1.3
Par Lindholm,11.346666666667,0.08,0.98,52.0,5.29,1.54,0.52,11.31,5.21,2.52,4.72,4.47
Dominik Kahun,14.150406504065,0.67,1.24,62.71,7.08,9.49,0.65,11.22,6.88,3.0,0.67,1.4
