Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Eric Staal,14.237037037037,0.82,0.88,78.38,6.2,13.21,0.76,10.71,6.97,3.8,1.58,2.63
Jeff Carter,13.706329113924,0.72,0.89,61.7,7.7,9.35,0.94,13.3,7.81,4.16,4.43,2.99
Zach Parise,16.141666666667,0.95,0.59,64.15,8.25,11.54,1.23,12.47,9.29,5.76,4.03,3.76
Corey Perry,11.562345679012,0.77,0.83,48.08,7.43,10.34,1.04,12.43,8.91,5.51,3.08,1.6
Patrice Bergeron,17.391666666667,1.19,1.37,52.73,11.01,10.84,1.37,19.33,13.27,5.93,2.92,2.39
Joe Pavelski,17.722764227642,1.16,2.02,55.0,7.64,15.14,1.16,13.95,10.49,6.28,3.84,2.64
Alex Ovechkin,20.204109589041,1.71,1.34,68.18,11.96,14.29,1.4,23.51,11.11,3.82,7.65,0.94
Evgeni Malkin,18.580487804878,1.06,2.21,75.45,9.45,11.25,1.04,16.42,10.32,4.02,2.09,1.3
Blake Wheeler,17.044212962963,0.78,1.91,74.32,6.16,12.7,0.92,12.42,7.87,4.06,2.64,1.71
David Krejci,17.194523809524,0.8,1.99,60.87,5.58,14.29,0.67,10.07,6.58,2.84,2.04,1.89
Paul Stastny,11.870091324201,0.62,0.9,52.38,5.54,11.25,0.99,9.49,7.55,5.12,1.45,1.25
Sidney Crosby,20.143495934959,1.2,2.18,70.99,9.26,12.94,1.2,16.09,9.77,5.23,2.58,1.71
Anze Kopitar,20.302235772358,1.01,1.66,66.67,6.09,16.57,0.72,10.45,6.7,3.39,2.45,3.14
T.J. Oshie,16.723563218391,1.18,0.99,61.4,7.79,15.08,1.21,14.1,10.7,5.81,7.73,2.1
Andrew Cogliano,12.617721518987,0.6,0.54,59.38,5.12,11.76,0.44,7.89,4.15,1.99,3.31,3.25
