Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Zdeno Chara,18.322121212121,0.12,0.48,23.26,3.99,2.99,0.12,8.81,1.96,0.0,5.24,3.99
Duncan Keith,23.353144654088,0.19,0.53,25.0,5.19,3.74,0.22,9.45,2.18,0.34,1.6,4.36
Ryan Suter,22.183630952381,0.14,0.77,27.54,4.15,3.49,0.18,9.66,2.51,0.29,1.84,3.14
Brent Burns,26.130952380952,0.29,0.9,40.85,5.66,5.07,0.32,12.05,3.2,0.7,1.27,3.85
Shea Weber,22.7,0.33,0.72,36.54,5.73,5.77,0.21,11.84,1.93,0.11,3.85,3.74
Mark Giordano,22.944047619048,0.42,0.79,38.81,6.63,6.34,0.27,14.29,2.43,0.09,2.38,5.14
Alex Goligoski,23.006547619048,0.14,0.88,35.48,3.35,4.17,0.16,7.31,1.96,0.47,3.54,5.03
Andrej Sekera,15.639855072464,0.25,0.17,16.13,2.75,9.09,0.12,6.34,1.17,0.25,3.92,5.17
Alexander Edler,20.90641025641,0.0,0.44,19.05,5.46,0.0,0.13,9.77,1.32,0.06,4.42,6.51
Marc Staal,18.409523809524,0.17,0.41,27.78,3.08,5.66,0.17,5.76,1.8,0.35,3.38,2.62
Marc-Edouard Vlasic,17.509477124183,0.07,0.34,20.69,2.49,2.7,0.09,5.85,1.01,0.27,2.69,4.3
Kris Letang,24.648484848485,0.31,1.68,46.88,5.84,5.3,0.26,11.55,3.1,0.31,4.07,2.88
Kris Russell,18.391904761905,0.0,0.84,52.94,3.82,0.0,0.17,8.2,1.58,0.56,3.82,6.99
Keith Yandle,17.241666666667,0.19,1.49,44.26,7.02,2.65,0.28,13.48,2.86,0.43,1.12,1.68
Niklas Hjalmarsson,17.360569105691,0.0,0.42,33.33,2.44,0.0,0.1,5.65,0.84,0.0,1.26,5.82
Anton Stralman,18.949561403509,0.25,0.5,31.03,3.17,7.89,0.14,6.67,1.42,0.42,3.08,2.5
Andy Greene,17.582424242424,0.06,0.25,15.15,3.1,2.0,0.14,7.76,1.18,0.37,2.54,6.14
Jeff Petry,22.737575757576,0.58,1.44,53.85,6.14,9.38,0.32,12.43,3.5,0.82,4.65,2.88
