Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Ian Cole,15.878703703704,0.07,0.49,17.02,2.1,3.33,0.06,3.99,0.49,0.07,2.66,6.58
Justin Braun,18.529559748428,0.06,0.31,16.67,3.6,1.69,0.11,7.27,1.34,0.24,4.77,4.46
Kevin Shattenkirk,21.204848484848,0.1,0.67,34.88,4.78,2.15,0.25,9.62,2.47,0.46,2.93,2.98
P.K. Subban,22.358712121212,0.3,0.85,45.24,6.04,5.05,0.26,11.89,2.13,0.24,2.5,2.81
Brendan Smith,16.434027777778,0.38,0.38,24.39,4.41,8.62,0.21,8.67,1.9,0.46,6.39,3.12
Ryan McDonagh,21.895333333333,0.22,0.44,26.09,4.66,4.71,0.29,8.77,2.69,0.71,3.78,5.26
Jake Muzzin,21.542767295597,0.21,1.21,43.55,5.41,3.88,0.19,10.09,2.31,0.11,5.31,4.94
Alec Martinez,22.56572327044,0.45,1.15,42.67,4.26,10.59,0.31,9.18,2.71,0.75,2.21,8.43
Jason Demers,17.238211382114,0.0,0.34,19.05,3.74,0.0,0.16,8.06,1.78,0.34,5.86,2.55
Drew Doughty,26.380952380952,0.32,1.02,47.83,4.1,7.92,0.29,9.54,2.56,0.32,3.7,3.37
Alex Pietrangelo,24.432520325203,0.42,0.96,37.7,7.55,5.56,0.38,16.65,5.03,0.72,1.68,4.79
Zach Bogosian,14.537037037037,0.0,0.37,14.81,3.3,0.0,0.14,7.8,1.65,0.28,6.15,2.84
Tyler Myers,22.079090909091,0.3,0.74,43.75,5.39,5.5,0.2,9.29,2.37,0.25,3.01,3.66
Erik Karlsson,23.592628205128,0.39,0.68,37.93,5.38,7.27,0.3,11.69,3.42,0.44,0.98,3.37
Michael Del Zotto,17.886477987421,0.25,0.57,29.55,4.87,5.19,0.22,7.97,2.15,0.82,7.91,3.42
John Carlson,23.782051282051,0.49,1.65,53.66,6.21,7.81,0.4,12.18,3.25,0.39,2.52,3.35
Roman Josi,24.393617021277,0.42,1.26,54.24,7.17,5.84,0.41,14.81,4.76,0.99,1.41,4.08
Justin Schultz,19.015942028986,0.21,1.65,47.37,4.6,4.48,0.24,8.92,2.13,0.34,1.92,3.36
Travis Hamonic,19.367105263158,0.24,0.57,41.67,6.44,3.8,0.21,12.31,2.45,0.33,3.91,6.6
Marco Scandella,19.948299319728,0.18,0.37,20.45,3.38,5.45,0.12,6.94,1.84,0.43,3.68,3.93
TJ Brodie,21.55744047619,0.05,0.65,21.88,2.39,2.08,0.1,5.47,1.14,0.2,1.69,4.17
Jared Spurgeon,22.088271604938,0.35,0.91,40.32,4.73,7.45,0.32,9.66,3.52,0.75,2.62,5.13
Victor Hedman,25.045061728395,0.4,1.6,51.14,6.03,6.62,0.37,14.02,4.17,0.49,2.26,3.24
Oliver Ekman-Larsson,20.967753623188,0.19,1.31,53.33,5.16,3.61,0.23,10.89,2.12,0.12,4.48,1.62
Ryan Ellis,23.801470588235,0.37,0.96,51.43,5.49,6.76,0.27,10.38,3.04,0.67,1.48,4.45
Calvin de Haan,18.960852713178,0.07,0.66,38.46,4.19,1.75,0.15,9.64,1.77,0.37,7.21,6.18
Dmitry Kulikov,19.167708333333,0.0,0.26,13.33,3.33,0.0,0.13,7.17,1.76,0.39,6.06,3.2
Nick Leddy,21.590178571429,0.1,1.44,52.54,3.92,2.53,0.2,7.25,1.99,0.3,2.88,2.68
Brayden McNabb,19.298780487805,0.15,0.45,23.53,2.96,5.13,0.17,8.19,3.26,0.53,7.43,5.76
Tyson Barrie,21.396428571429,0.4,2.0,50.53,7.31,5.48,0.35,14.57,3.71,0.55,1.3,2.95
Dmitry Orlov,19.813725490196,0.48,0.83,38.6,4.93,9.64,0.23,9.74,2.55,0.42,5.17,2.97
Brian Dumoulin,22.360569105691,0.26,0.65,30.43,3.27,8.0,0.14,6.81,1.57,0.26,4.12,3.6
Mattias Ekholm,22.881560283688,0.33,0.89,43.14,5.91,5.66,0.25,12.44,2.85,0.39,1.28,2.57
Sami Vatanen,17.015384615385,0.18,0.36,24.0,4.97,3.64,0.17,9.22,1.72,0.27,2.44,4.43
David Savard,19.845987654321,0.06,0.28,24.0,3.86,1.45,0.18,6.94,1.79,0.39,7.39,6.1
Ben Chiarot,21.787398373984,0.07,0.4,28.0,5.44,1.23,0.19,10.55,2.69,0.27,5.17,4.03
Nick Jensen,17.306918238994,0.13,0.78,41.18,3.92,3.33,0.12,7.0,1.5,0.2,3.66,4.25
Brenden Dillon,18.943452380952,0.11,0.96,33.33,2.88,3.92,0.1,7.81,1.41,0.06,8.09,3.45
Radko Gudas,17.569444444444,0.13,0.57,26.83,5.31,2.38,0.21,10.56,1.77,0.13,15.81,4.55
Christopher Tanev,21.730952380952,0.1,0.49,28.57,3.25,3.03,0.11,6.02,0.89,0.2,1.63,5.28
Justin Holl,21.06303030303,0.1,0.93,32.79,2.95,3.51,0.13,6.06,1.66,0.16,4.25,4.35
Patrik Nemeth,18.010897435897,0.19,0.45,29.41,3.4,5.66,0.08,6.6,1.41,0.0,5.57,4.29
Jon Merrill,18.256462585034,0.0,0.34,18.52,2.75,0.0,0.11,6.17,1.14,0.13,2.28,4.7
Justin Faulk,24.259523809524,0.31,0.79,35.21,5.17,5.98,0.24,9.85,3.14,0.49,5.61,3.84
Derek Forbort,20.734821428571,0.1,0.52,25.53,3.46,2.99,0.1,8.99,1.86,0.16,4.13,5.94
Cam Fowler,21.760416666667,0.25,0.89,44.23,3.69,6.67,0.2,8.91,3.05,0.39,1.33,1.77
Erik Gudbranson,17.882575757576,0.08,0.23,16.67,4.35,1.75,0.11,9.15,1.68,0.08,8.01,4.8
Jani Hakanpaa,18.021052631579,0.12,0.12,10.26,3.15,3.7,0.16,7.13,1.64,0.35,12.56,4.85
John Klingberg,22.695911949686,0.35,1.45,50.0,5.39,6.48,0.26,11.52,2.69,0.45,2.44,2.59
Nikita Nesterov,15.88201754386,0.0,0.4,20.0,3.28,0.0,0.13,9.05,1.59,0.1,4.08,2.88
Dylan DeMelo,16.970833333333,0.0,0.61,23.68,2.99,0.0,0.11,6.05,1.5,0.27,5.17,3.94
Mike Reilly,19.277272727273,0.0,1.53,50.0,5.55,0.0,0.17,9.56,1.58,0.17,3.96,2.43
Scott Mayfield,19.477678571429,0.11,0.72,37.5,4.35,2.53,0.16,9.13,1.87,0.22,4.18,5.94
Joel Edmundson,20.047272727273,0.16,0.54,23.64,4.19,3.9,0.2,9.8,2.34,0.33,5.33,4.08
Adam Larsson,19.647321428571,0.22,0.33,29.41,2.84,7.69,0.16,7.09,1.69,0.22,9.05,6.98
Dougie Hamilton,22.722121212121,0.48,1.54,46.67,8.64,5.56,0.43,17.38,5.14,0.48,2.5,3.07
Jonas Brodin,22.43427672956,0.45,0.71,40.35,4.04,11.25,0.17,8.38,2.07,0.4,1.77,5.0
Jamie Oleksiak,20.477380952381,0.31,0.42,43.75,4.4,7.14,0.22,7.59,2.35,0.78,7.74,4.6
Connor Murphy,22.172448979592,0.17,0.66,34.88,4.2,3.95,0.13,8.56,1.55,0.17,5.63,6.63
Colin Miller,18.0,0.28,0.56,44.44,4.44,6.25,0.16,9.65,1.11,0.14,6.32,3.54
Torey Krug,22.548366013072,0.1,1.57,42.11,5.79,1.8,0.28,10.9,2.82,0.57,2.66,2.97
Ryan Murray,18.613888888889,0.0,0.94,36.84,1.95,0.0,0.09,4.5,1.14,0.27,2.55,4.9
Morgan Rielly,23.612424242424,0.23,1.39,43.21,4.67,4.95,0.24,10.07,3.37,0.55,2.91,2.82
Matt Dumba,22.279738562092,0.32,0.79,38.18,4.7,6.74,0.32,9.82,2.9,0.79,3.91,3.96
Brady Skjei,20.732371794872,0.17,0.39,28.57,5.79,2.88,0.23,9.96,2.23,0.33,3.67,3.45
Olli Maatta,16.436585365854,0.0,0.36,14.81,3.83,0.0,0.17,6.94,1.78,0.53,3.65,4.72
Mike Matheson,18.638636363636,0.37,0.8,33.33,6.29,5.81,0.28,11.34,3.44,0.8,3.0,2.93
Cody Ceci,18.518238993711,0.24,0.79,35.42,3.55,6.9,0.14,6.72,1.28,0.31,4.52,4.28
Jacob Trouba,21.491228070175,0.15,0.73,34.29,5.14,2.86,0.27,11.46,3.31,0.81,8.16,6.17
Matt Grzelcyk,19.743693693694,0.41,1.23,45.45,6.57,6.25,0.21,10.35,1.81,0.25,1.56,2.79
Colton Parayko,21.33125,0.18,0.88,48.0,5.27,3.33,0.18,10.28,2.11,0.26,3.08,5.63
Esa Lindell,23.180654761905,0.23,0.51,29.63,4.62,5.0,0.23,8.5,2.59,0.46,5.27,4.81
Shayne Gostisbehere,19.940243902439,0.66,0.81,40.82,6.24,10.59,0.38,13.87,3.01,0.66,1.32,3.45
Adam Pelech,21.041964285714,0.2,0.51,27.45,4.18,4.88,0.21,9.17,2.39,0.51,3.36,3.72
Damon Severson,22.484523809524,0.14,0.86,46.67,4.34,3.3,0.23,9.29,2.48,0.43,2.72,2.38
Jaccob Slavin,22.982371794872,0.15,0.6,22.39,5.07,2.97,0.25,10.79,2.96,0.65,1.76,4.37
Brett Kulak,16.107608695652,0.16,0.49,30.77,4.62,3.51,0.15,9.15,2.27,0.65,2.27,4.37
Matthew Benning,16.319230769231,0.07,0.21,16.67,3.04,2.33,0.09,6.86,0.85,0.07,3.75,3.68
Ben Hutton,18.453947368421,0.09,0.34,29.41,4.62,1.85,0.19,8.64,1.8,0.6,3.76,3.34
Danny DeKeyser,18.099645390071,0.28,0.56,35.29,3.03,9.3,0.11,6.49,1.69,0.07,3.1,5.71
Nate Schmidt,20.102777777778,0.28,0.55,38.46,4.2,6.58,0.19,8.79,2.32,0.33,0.83,3.98
MacKenzie Weegar,22.116049382716,0.3,1.51,53.73,5.07,5.94,0.28,9.14,2.66,0.55,5.93,4.17
Tucker Poolman,18.30811965812,0.0,0.08,5.26,4.2,0.0,0.15,8.15,2.02,0.59,5.8,4.12
Connor Clifton,18.2125,0.07,0.45,22.58,3.59,2.08,0.13,7.71,1.5,0.22,8.09,3.89
Carson Soucy,15.285333333333,0.08,1.26,41.46,3.69,2.13,0.12,6.59,1.41,0.31,4.87,3.85
Ryan Graves,19.055864197531,0.12,0.76,34.09,5.89,1.98,0.22,13.18,2.74,0.7,4.49,5.31
Shea Theodore,22.546226415094,0.4,1.71,48.84,8.08,4.97,0.45,17.47,4.57,0.75,1.1,2.16
Brett Pesce,22.792121212121,0.19,1.01,45.45,4.26,4.49,0.22,11.06,2.78,0.43,0.81,3.92
Seth Jones,25.194642857143,0.21,0.98,50.0,6.0,3.55,0.26,10.89,2.59,0.72,4.34,4.3
Darnell Nurse,25.625,0.67,0.84,36.0,6.48,10.32,0.32,12.08,3.6,0.59,4.89,4.18
Rasmus Ristolainen,22.285714285714,0.22,0.77,38.3,4.01,5.48,0.26,8.41,2.53,0.88,10.6,3.74
Josh Morrissey,23.567261904762,0.18,0.77,33.33,5.27,3.45,0.27,11.18,3.36,0.27,3.55,3.91
Ryan Pulock,22.44494047619,0.1,0.72,30.91,5.78,1.65,0.26,11.17,2.77,0.53,4.63,5.06
Nikita Zadorov,19.25462962963,0.06,0.35,21.88,3.0,1.92,0.13,6.87,1.73,0.12,10.79,4.21
Jordan Oesterle,17.901162790698,0.08,0.78,29.73,2.96,2.63,0.17,6.7,2.1,0.31,3.51,4.99
Aaron Ekblad,25.090952380952,0.75,0.75,40.0,6.9,10.89,0.44,13.19,4.3,0.75,1.64,1.84
Haydn Fleury,15.397517730496,0.25,0.08,25.0,5.14,4.84,0.19,10.45,2.32,0.33,5.22,4.56
Travis Sanheim,21.886363636364,0.15,0.6,35.71,4.98,3.0,0.26,9.77,2.74,0.7,2.39,3.64
Marcus Pettersson,16.485106382979,0.15,0.54,29.03,3.56,4.35,0.14,7.28,1.78,0.23,3.95,3.02
Brandon Montour,20.488,0.41,0.64,41.86,5.51,7.45,0.31,10.13,2.64,0.76,3.16,3.63
Devon Toews,24.760691823899,0.41,1.01,41.33,5.53,7.44,0.26,10.1,3.15,0.82,2.01,3.98
Gustav Forsling,19.943023255814,0.35,0.84,36.96,6.58,5.32,0.25,11.54,2.31,0.63,2.1,2.94
Noah Hanifin,20.009574468085,0.26,0.7,41.67,5.68,4.49,0.28,13.14,3.96,0.7,1.79,2.55
Rasmus Andersson,21.222023809524,0.25,0.81,35.59,4.85,5.21,0.32,9.95,1.72,0.3,2.47,3.43
Vince Dunn,19.249224806202,0.43,1.01,58.82,5.29,8.22,0.27,11.89,3.48,0.65,2.61,3.7
Travis Dermott,13.22385620915,0.18,0.36,28.57,3.2,5.56,0.13,7.21,1.78,0.27,3.91,3.11
Jakub Zboril,17.052777777778,0.0,0.75,40.91,2.93,0.0,0.1,6.87,2.01,0.08,5.28,2.76
Erik Cernak,19.784420289855,0.33,0.86,41.86,5.6,5.88,0.26,10.75,3.03,0.53,6.46,3.03
Ethan Bear,17.961627906977,0.16,0.47,27.59,4.12,3.77,0.15,7.77,1.63,0.16,2.41,4.27
Zach Werenski,24.359047619048,0.49,0.91,60.61,5.56,8.86,0.29,9.92,3.1,0.63,1.48,2.74
Jeremy Lauzon,18.710569105691,0.08,0.55,25.0,3.75,2.08,0.12,7.66,1.41,0.23,7.66,4.15
Thomas Chabot,26.284013605442,0.28,1.16,50.0,5.59,5.0,0.28,11.23,2.98,0.65,3.17,3.35
Jacob Larsson,17.386956521739,0.08,0.45,29.17,3.15,2.38,0.11,7.8,0.98,0.0,2.78,4.43
Ivan Provorov,24.998511904762,0.3,0.81,35.14,5.4,5.56,0.26,10.8,3.0,0.56,2.4,4.54
John Marino,20.733653846154,0.17,0.56,26.0,3.12,5.36,0.13,5.9,1.45,0.22,2.67,2.78
Vladislav Gavrikov,19.401212121212,0.11,0.56,35.29,2.7,4.17,0.12,5.74,1.41,0.28,3.88,4.33
Matt Roy,19.254166666667,0.14,0.57,34.48,4.04,3.51,0.17,10.34,1.98,0.5,4.32,4.75
Philippe Myers,18.873484848485,0.07,0.72,31.43,5.56,1.3,0.21,12.14,2.96,0.22,4.99,2.89
Adam Fox,24.706363636364,0.22,1.85,52.22,4.5,4.9,0.27,7.99,2.69,0.49,1.02,4.5
Ryan Lindgren,19.99477124183,0.06,0.88,30.77,3.82,1.54,0.17,7.59,2.47,0.59,5.77,2.94
Charlie McAvoy,23.995751633987,0.25,1.23,39.47,4.51,5.43,0.27,9.27,2.99,0.59,3.19,3.92
Libor Hajek,15.271212121212,0.18,0.18,17.39,2.95,6.06,0.13,5.0,0.98,0.18,2.32,4.29
Jakob Chychrun,23.388095238095,0.82,1.05,54.67,8.06,10.23,0.45,16.26,3.39,0.92,2.7,4.08
Dante Fabbro,19.315,0.16,0.78,46.15,4.58,3.39,0.15,7.84,1.01,0.23,2.49,4.43
Samuel Girard,23.2125,0.27,1.45,48.48,4.25,6.33,0.19,10.02,1.94,0.22,1.67,2.8
Jake Bean,14.537698412698,0.1,1.08,54.55,5.4,1.82,0.29,11.4,2.85,0.39,1.67,2.06
Mikhail Sergachev,21.970238095238,0.2,1.27,50.0,5.27,3.7,0.31,10.63,3.07,0.29,3.22,3.56
Filip Hronek,23.386011904762,0.09,1.1,54.17,5.22,1.75,0.26,10.31,2.06,0.27,3.07,2.11
Troy Stecher,17.315909090909,0.24,0.63,39.29,4.33,5.45,0.15,10.16,2.36,0.32,2.6,3.62
Nikita Zaitsev,22.74,0.19,0.62,38.64,3.36,5.71,0.17,8.4,1.58,0.0,5.47,5.28
Juuso Valimaki,15.434013605442,0.16,0.71,34.38,5.71,2.78,0.2,11.58,2.62,0.32,2.22,4.76
Nicolas Hague,15.995192307692,0.36,0.87,45.95,5.63,6.41,0.28,13.35,3.82,0.36,6.78,4.69
Mario Ferraro,22.425595238095,0.05,0.76,29.31,2.77,1.72,0.14,5.06,1.39,0.29,7.41,4.59
Mikey Anderson,21.175617283951,0.05,0.52,29.73,2.73,1.92,0.09,5.77,1.26,0.21,3.46,3.88
Henri Jokiharju,18.380434782609,0.21,0.35,28.57,3.55,6.0,0.14,7.74,1.92,0.07,3.34,3.76
Miro Heiskanen,24.967575757576,0.35,0.83,45.0,5.29,6.61,0.32,11.45,4.06,0.39,2.05,2.27
Cale Makar,24.292803030303,0.45,2.02,52.38,5.84,7.69,0.36,12.63,3.26,0.79,2.75,2.02
Neal Pionk,21.953086419753,0.15,1.47,45.71,5.06,3.0,0.21,10.12,2.33,0.4,6.93,3.75
Jacob Bryson,19.045614035088,0.08,0.66,26.47,1.99,4.17,0.09,5.39,1.24,0.08,2.65,3.56
Sean Walker,18.168085106383,0.35,0.91,48.65,6.46,5.43,0.38,12.72,3.44,0.91,3.02,5.06
Zach Whitecloud,17.817320261438,0.13,0.66,40.0,3.57,3.7,0.22,8.39,2.44,0.66,5.61,4.95
Quinn Hughes,22.804464285714,0.14,1.79,62.12,4.6,3.06,0.24,10.95,2.68,0.42,0.85,2.02
K'Andre Miller,21.109748427673,0.27,0.38,22.64,3.32,8.06,0.15,7.29,1.66,0.32,4.99,4.13
Rasmus Dahlin,21.627380952381,0.25,0.89,45.1,5.7,4.35,0.31,10.4,2.68,0.79,3.96,2.23
Noah Dobson,16.39384057971,0.24,0.88,43.75,5.57,4.29,0.24,11.38,2.94,0.16,3.18,4.69
Ty Smith,20.122916666667,0.12,1.3,47.92,4.29,2.9,0.23,10.99,2.86,0.12,1.99,2.17
Ilya Lyubushkin,15.685317460317,0.09,0.09,12.5,3.28,2.78,0.1,6.56,1.09,0.09,9.38,6.56
Alexander Romanov,17.256172839506,0.06,0.32,15.38,4.57,1.41,0.18,12.3,3.03,0.13,8.89,3.86
Nikolai Knyzhov,16.742261904762,0.13,0.51,30.3,3.26,3.92,0.1,6.21,1.28,0.19,5.38,3.46
Artem Zub,18.382269503546,0.21,0.76,31.82,2.71,7.69,0.11,5.9,1.88,0.28,6.18,4.86
